Year,Nurs_value,Nurs_count,Seed_value,Seed_count,Flower_value,Flower_count
1967,14628388,462293.1,12775411,34191.5,406466,0
1968,15583028,472032.9,14651544,45393.3,802355,0
1969,16293166,508888.9,16594236,47960.4,1198083,0
1970,17857059,508568.3,17905373,64178.9,2219606,0
1971,16787337,483233.6,19325841,45542,2737704,0
1972,22703521,553978.7,20150663,37081,4029745,0
1973,25659548,551452,23823607,25927.4,11656613,0
1974,31252313,591389.2,33406037,33620.8,19764470,0
1975,35152932,576704.2,45195253,53852.1,19811913,0
1976,41179023,620044.4,34827874,30488.1,25356333,0
1977,46479826,656702.1,40905207,32294.5,38310449,0
1978,52132279,657489.4,44556255,30941.2,57639775,0
1979,60660671,710374.1,47848534,29041.9,77471027,0
1980,69490320,707446.4,53831381,34185,88580988,0
1981,67832614,715389.4,64860654,34233.5,102804901,0
1982,69936314,736698.7,75669626,41319.9,130231327,0
1983,73811098,853635.9,83810327,48263.1,163033202,958908.8
1984,94949212,1054953.9,89873392,44629.4,214199551,1143539.4
1985,104020434,1151127.6,86886770,42819.4,220870420,1092138.4
1986,123193341,1275795.1,113246620,58657.8,234894772,1215730.4
1987,132335204,1237907.3,145531291,83283.2,243609197,1308532.9
1988,145664263,1251253.6,147457237,99117.1,283505459,1329269.2
1989,194635929,1391647.8,169784330,82434.6,315572057,1549975.1
1990,209071215,1505742.8,146823527,76208,326245660,1504097.1
1991,220499547,1511727.4,165314023,93407.5,322015957,1480334.3
1992,246836047,1633628.3,205644034,120701.3,352365731,1658597.4
1993,266559780,1670351.2,208009408,124110.6,378973898,1810059.1
1994,288723926,1781262.8,230031957,190917.6,420103948,2390618.4
1995,342800488,1875456.1,242882476,158053.7,511524133,2625940.3
1996,377429762,2058238.5,312975347,202072.8,572549993,2807175.2
1997,406360330,2259186.2,378191976,227418.9,595045472,2781985.6
1998,463622635,2445088.8,430295758,267815.8,614362031,2699833.7
1999,505494114,2566060.2,454648963,346120.1,592365866,2806691.2
2000,546615620,2617036.8,469764769,341460.7,610460673,2726239.6
2001,583309076,2681647.7,419376643,295715.3,565467820,2612094.6
2002,589220302,2880604,405339953,314327.8,541655123,2554047.4
2003,636457038,2882656.7,426732715,291377.3,610943140,2616294.8
2004,670578311,3006346,441840277,293694.8,705853524,2808331.1
2005,672711127,3110657.3,508132219,293717.9,708949380,2893744.4
2006,687011725,3161853.3,599337397,359737.8,768105984,3007914.4
2007,715615797,3174755.9,668937547,345722.8,831503250,3072151.7
2008,664699915,2854253.1,770546370,359880.8,803648377,2896437.4
2009,579009780,2648219,771353414,294966.2,767689732,2805676.7
2010,633617399,2794824.2,790397627,258849.5,846973396,3089488.6
2011,664374214,2831306.2,907343676,289443.2,880894353,3108641.1
2012,1003441740,3158815.4,1260528883,495820.9,615662449,2772113.6
2013,1030263089,3179690.3,1509259367,699109.8,645104332,2873074.3
2014,1051622076,3181285,1283328410,507807.7,671287225,2916717.4
2015,1068930551,3210687.4,994699867,479545.3,661616435,2949864.9
2016,1131369304,3187029.5,995803462,490937.6,714020841,3183800
2017,1201479574,3256860.5,1045103971,526017.8,737523802,3265382.8
